product_name,url,indications,char_count,flag
A.C.T.H,https://sblglobal.com/product/a-c-t-h-1833,"Stress and Anxiety
Helps in managing stress-related symptoms, including overwhelming feelings of pressure, anxiety, and irritability.
Supporting relaxation and mental clarity.
Fatigue
Supports energy and helps reduce exhaustion.
It further helps improve memory and concentration by alleviating mental fatigue.
Hormonal Imbalances
Supports adrenal function, helping to regulate cortisol levels.
Mood Disorders
Assists in managing symptoms of depression and mood swings.
Digestive ailment
Helpful for managing digestive disturbances associated with stress, such as indigestion and bloating.
Sleep
Aids in improving sleep quality affected by anxiety or hormonal imbalances.
Inflammatory Conditions
Help reduces joint pain, swelling, and overall discomfort due to inflammatory diseases.
A.C.T.H - DL
Active compounds derived from ACTH.",831,
ABEL MOSCHUS,https://sblglobal.com/product/abel-moschus-1834,"Anxiety and Nervous Disorders
Alleviates feelings of anxiety, nervousness, and emotional instability and fatigue.
Helpful for conditions like hysteria, nervous attacks, and fainting spells.
Digestive Issues
Aids in relieving symptoms of indigestion, flatulence, and loss of appetite.
Acts as a carminative to reduce bloating and discomfort.
Respiratory Conditions
Beneficial for asthma and coughs associated with intense anxiety and fear.
Helps alleviate tightness in the chest and difficulty breathing.
Reproductive Health
Supports sexual health by addressing issues such as premature ejaculation and irregular menstrual flow.
Acts as an aphrodisiac, helping improve sexual desire in cases of diminished libido.
Skin Conditions
Helpful in skin irritations and
eruptions
exacerbated by emotional stress.
General Weakness
Addresses symptoms of nervous debility and fatigue associated with emotional strain.
Difficulty falling asleep or staying asleep due to an overactive mind or anxiety.
ABEL MOSCHUS - DL
Abel moschus",1018,
ABIES CANADENSIS,https://sblglobal.com/product/abies-canadensis-1835,"Digestive Disorders
Increased Appetite: Characterized by a strong craving for food, particularly meat and coarse foods, often leading to overeating.
Gastric Distress: Includes gnawing, hungry faint feelings at the epigastrium, burning sensations in the stomach, and distension.
Constipation: Associated with burning pain in the rectum.
Liver and Gallbladder Issues
Symptoms may include a sensation of the liver being small and hard, along with feelings of fullness and discomfort in the upper abdomen.
Respiratory Distress
Labored breathing and sensations of tightness in the chest may occur, often accompanied by increased heart action.
Uterine Displacement
Helpful for women experiencing uterine displacement, with symptoms such as
soreness at the fundus of the uterus that improves with pressure.
Sensation of womb as soft and feeble, as if will abort.
Nervous System
Patients may experience light-headedness, a tipsy feeling, and irritability. Cold sensations and clammy skin are also common.
ABIES CANADENSIS - DL
Abies canadensis",1035,
ABIES NIGRA,https://sblglobal.com/product/abies-nigra-1836,"Digestive Disorders
Indigestion: Alleviates symptoms such as bloating, heaviness in the stomach as if constriction above the pit of the stomach, and discomfort after meals.
Constipation: Effective in treating constipation and associated abdominal pain.
Gastric Disturbances
Helps manage heartburn, a sensation of fullness, and irregular appetite patterns.
Reduces feelings of compression in the stomach and promotes regular bowel movements.
Respiratory Issues
Provides relief from sensations of heaviness in the chest and choking sensations.
Beneficial for individuals experiencing coughs or breathing difficulties.
Sleep Disorders
Decreases restlessness and improves sleep quality, particularly in individuals suffering from insomnia.
General Weakness
Addresses feelings of fatigue and weakness commonly experienced by older adults.
ABIES NIGRA - DL
Abies nigra",862,
Abroma Augusta,https://sblglobal.com/product/abroma-augusta-1837,"Menstrual Disorders
Regulates menstrual cycles and alleviates associated symptoms like pain and discomfort.
Helpful in treating amenorrhea (absence of menstruation) and dysmenorrhea (painful menstruation).
Helps in Menstrual flow which is scanty or profuse along with pain in the abdomen and profuse watery vaginal discharge.
Nervous Complaints
Supports relaxation and mental clarity.
Helps alleviate nervous tension, anxiety, absentmindedness, irritability and mood swings.
Mental fatigue, with a tendency to feel mentally sluggish or overwhelmed.
Sleep Disorders
Aids in improving sleep quality by calming the mind and reducing insomnia.
Diabetes Management
Supports blood sugar regulation and alleviates diabetes-related ailments.
Addresses urinary issues associated with diabetes, such as increased urgency along with excessive thirst.
Digestive Issues
Relieves conditions like flatulence, constipation, and abnormal appetite.
Respiratory Conditions
Helps soothe coughs and pressing chest pain and other respiratory infections by calming the airways.
Skin Conditions
Exhibits anti-inflammatory properties that can assist in treating skin irritations, dry skin, boils along with burning sensation of skin.
ABROMA AUGUSTA - DL
Abroma augusta",1243,
ABROMA RADIX,https://sblglobal.com/product/abroma-radix-1838,"Female Reproductive Health
Menstrual Disorders: helps in menstrual cycles by regulate hormones and alleviates symptoms associated with irregular periods, including pain and discomfort.
Helps manage excessive vaginal discharge and treats heavy or scanty menstrual flow.
Mental Symptoms
o Associated with symptoms similar to
Abroma augusta
.
ABROMA RADIX - DL
Abroma radix ( root of Abroma augusta)",396,
ABROTANUM - DL,https://sblglobal.com/product/abrotanum-dl-1839,"Digestive Disorders
Helps with indigestion with bloating, distended, and discomfort in the stomach after meals.
Effective for diarrhea, loose watery stools.
Especially when associated with rheumatic symptoms.
Provides relief from constipation with associated abdominal cramps and discomfort.
Rheumatic and Musculoskeletal Issues
Effective in managing rheumatic pain, particularly when symptoms alternate with gastrointestinal disturbances.
Addresses weakness and coldness in the lower extremities, muscle aches, stiff, swollen and lame joints.
Swelling & Edema
Alleviates swelling, particularly in the lower limbs, due to fluid retention or poor circulation.
Respiratory Conditions
Helps alleviate coughs and provides relief from a pressing sensation in the chest, particularly after respiratory illnesses.
Skin Conditions
Helpful in treating skin ailments characterized by itching and eruptions. Purplish skin after suppressed eruptions.
Nervous System
Reduces feelings of nervous exhaustion, irritability, and tension. Helps in anxiousness and feeling of depressed and sadness.
General Weakness:
Supports recovery from weakness and fatigue following influenza, hectic fever or other acute illnesses.
Particularly helpful for children suffering from marasmus, characterized by emaciation of the lower body despite a good appetite.",1331,
ABRUS PRECATORIUS,https://sblglobal.com/product/abrus-precatorius-1840,"Eye Complaints
Helpful in managing purulent conjunctivitis and granular ophthalmia.
Addresses inflammation of the cornea i.e., keratitis.
Respiratory Issues
Provides relief from a persistent cough, chest pain and congestion.
Helps alleviate tightness in the chest and shortness of breath, especially in cases of infections or respiratory distress.
Skin Conditions
Supports in treating ulcers, lupus, and other skin ailments. Reduces skin irritations, rashes, and eruptions associated with such infections
Fever
Reduces fever and helps manage associated symptoms such as chills, sweating along with high pulse.
Musculoskeletal Pain
Reduces pain and discomfort in the joints and muscles.
ABRUS PRECATORIUS - DL
Abrus precatorius",726,
ABSINTHIUM,https://sblglobal.com/product/absinthium-1841,"Epileptiform Seizures and Convulsions
Helpful in the cases of epileptiform seizures.
Nervous tremors precede attacks, with sudden and severe giddiness.
Attacks occur in rapid succession, leading to loss of consciousness and foaming at the mouth.
- Nervous Excitement and Sleeplessness
Helps in extreme nervous excitement and restlessness, especially in children.
Beneficial in cases of persistent wakefulness and frightful visions.
- Delirium and Hallucinations
Treats symptoms of delirium with hallucinations, frightful visions, and loss of memory.
Patients may experience kleptomania, confusion, and a tendency to withdraw from social interaction.
- Cerebral Irritation and Hysteria
Addresses cerebral irritation and spasms, including hysterical and infantile convulsions.
Beneficial in chorea and opisthotonos (severe muscle spasms).
- Headaches and Vertigo
Helps with dizziness and a tendency to fall backward.
Provides relief from dull occipital headaches and general mental confusion.
- Facial and Oral Symptoms
Spasmodic facial twitching and foolish expressions.
Jaw fixation, tongue biting, and swelling sensations in the tongue.
- Digestive Disturbances
Relieves nausea, retching, bloating, and wind colic.
Effective in cases of belching and eructation.
- Urinary Symptoms
Constant desire to urinate, with a very strong odor and deep yellow color.
- Female Health Issues
Addresses premature menopause with associated nervous symptoms.
Helps in cases of darting pain in the right ovary and reproductive weakness.
- Cardiovascular Symptoms
Sensation of weight on the chest and loud heart action.
Irregular heartbeat with sensations of palpitations heard in the back.
ABSINTHIUM - DL
Artemisia absinthium",1710,
ACALYPHA INDICA,https://sblglobal.com/product/acalypha-indica-1842,"Respiratory Ailments
Beneficial in cases of incipient phthisis (early-stage tuberculosis) marked by a hard, racking cough.
Manages haemoptysis (blood-streaked cough), with bright red expectoration in the morning and dark clots in the afternoon.
Provides relief from persistent chest pain and dullness.
- Haemorrhagic Disorders
Aids in controlling various types of haemorrhages, which tend to worsen in the morning.
Addresses arterial bleeding without significant fever.
Helps manage rectal bleeding linked to chronic bowel disorders.
- Digestive Complaints
Relieves intense burning sensations in the stomach and intestines.
Treats spluttering diarrhoea accompanied by excessive, noisy flatulence.
Alleviates abdominal discomfort caused by rumbling, distention, and gripping pain.
- Skin & Liver Disorders
Beneficial for jaundice and liver-related skin discoloration.
Aids in treating itching and furuncle-like eruptions.
- General Weakness & Chronic Fatigue
Helps combat progressive emaciation and exhaustion, particularly in those who feel very weak in the morning but regain strength as the day progresses.
ACALYPHA INDICA - DL
Acalypha indica",1145,
